"x","y"
166.0,1
168.0,0
168.0,1
168.0,0
168.0,0
170.0,0
170.0,1
170.0,0
170.0,1
172.0,0
172.0,1
172.0,0
174.0,1
174.0,0
174.0,0
174.0,1
176.0,0
176.0,0
176.0,1
176.0,0
178.0,1
178.0,0
178.0,1
178.0,1
180.0,1
180.0,0
180.0,1
180.0,1
182.0,1
182.0,1
182.0,1
184.0,0
184.0,1
184.0,1
184.0,0
186.0,0
186.0,1
186.0,0
188.0,0
188.0,0
188.0,0
188.0,1
190.0,1
190.0,0
190.0,0
192.0,0
192.0,1
192.0,0
192.0,1
194.0,1
194.0,1
194.0,0
196.0,1
196.0,0
196.0,1
196.0,0
198.0,1
198.0,1
198.0,1
200.0,0
200.0,1
200.0,1
202.0,1
202.0,1
202.0,1
202.0,0
204.0,1
204.0,1
204.0,0
206.0,1
206.0,0
206.0,1
208.0,1
208.0,1
208.0,1
210.0,1
210.0,1
210.0,0
210.0,1
212.0,1
212.0,1
212.0,1
214.0,0
214.0,1
214.0,0
216.0,1
216.0,0
216.0,0
218.0,1
218.0,0
218.0,0
220.0,0
220.0,0
220.0,1
222.0,1
222.0,1
222.0,1
224.0,1
224.0,0
224.0,1
226.0,1
226.0,1
226.0,0
228.0,0
228.0,0
228.0,0
230.0,0
230.0,0
230.0,1
232.0,0
232.0,1
232.0,1
234.0,0
234.0,1
234.0,1
236.0,1
236.0,0
238.0,1
238.0,0
238.0,0
240.0,1
240.0,1
240.0,0
242.0,1
242.0,0
242.0,0
244.0,0
244.0,1
246.0,1
246.0,0
246.0,1
248.0,0
248.0,1
248.0,1
250.0,1
250.0,1
250.0,1
252.0,0
252.0,1
254.0,1
254.0,1
254.0,1
256.0,1
256.0,1
258.0,1
258.0,1
258.0,1
260.0,0
260.0,1
260.0,1
262.0,1
262.0,1
264.0,1
264.0,1
264.0,0
266.0,1
266.0,1
268.0,1
268.0,0
268.0,1
270.0,1
270.0,1
272.0,0
272.0,1
272.0,0
274.0,0
274.0,1
276.0,1
276.0,0
278.0,0
278.0,0
278.0,1
280.0,1
280.0,1
282.0,1
282.0,1
282.0,1
284.0,1
284.0,1
286.0,0
286.0,1
288.0,1
288.0,1
288.0,1
290.0,0
290.0,1
292.0,1
292.0,1
294.0,0
294.0,0
296.0,1
296.0,0
296.0,1
298.0,0
298.0,1
300.0,0
300.0,1
302.0,0
302.0,0
304.0,0
304.0,1
304.0,0
306.0,1
306.0,1
308.0,1
308.0,1
310.0,1
310.0,1
312.0,1
312.0,0
314.0,0
314.0,1
316.0,1
316.0,0
318.0,1
318.0,0
320.0,1
320.0,0
320.0,1
322.0,0
322.0,1
324.0,1
324.0,1
326.0,1
326.0,0
328.0,0
328.0,1
330.0,1
330.0,0
332.0,1
332.0,1
334.0,1
334.0,0
336.0,1
336.0,1
338.0,0
338.0,1
340.0,1
340.0,0
342.0,1
342.0,0
344.0,0
344.0,1
346.0,1
346.0,1
348.0,0
350.0,0
350.0,1
352.0,1
352.0,0
354.0,1
354.0,1
356.0,1
356.0,1
358.0,0
358.0,1
360.0,0
360.0,0
362.0,1
362.0,0
364.0,1
366.0,1
366.0,1
368.0,0
368.0,1
370.0,1
370.0,0
372.0,0
372.0,1
374.0,0
376.0,1
376.0,1
378.0,1
378.0,1
380.0,1
380.0,1
382.0,1
384.0,1
384.0,1
386.0,1
386.0,0
388.0,1
388.0,1
390.0,1
392.0,0
392.0,1
394.0,0
394.0,0
396.0,0
398.0,1
398.0,0
400.0,1
400.0,1
402.0,1
404.0,1
404.0,0
406.0,1
406.0,1
408.0,1
410.0,0
410.0,1
412.0,0
412.0,1
414.0,0
416.0,1
416.0,1
418.0,0
420.0,0
420.0,1
422.0,1
422.0,0
424.0,1
426.0,0
426.0,1
428.0,1
430.0,1
430.0,1
432.0,1
434.0,1
434.0,0
436.0,1
438.0,1
438.0,0
440.0,1
442.0,0
442.0,1
444.0,1
446.0,1
446.0,0
448.0,1
450.0,0
450.0,1
452.0,1
454.0,0
454.0,1
456.0,1
458.0,1
458.0,0
460.0,1
462.0,1
462.0,1
464.0,1
466.0,1
466.0,1
468.0,0
470.0,1
472.0,0
472.0,0
474.0,0
476.0,0
476.0,1
478.0,0
480.0,1
482.0,1
482.0,1
484.0,1
486.0,1
486.0,1
488.0,1
490.0,1
492.0,0
492.0,1
494.0,1
496.0,1
498.0,1
498.0,1
500.0,1
502.0,1
504.0,1
504.0,1
506.0,1
508.0,1
510.0,0
510.0,0
512.0,0
514.0,0
516.0,0
516.0,1
518.0,1
520.0,1
522.0,1
524.0,1
524.0,1
526.0,1
528.0,1
530.0,1
532.0,1
532.0,1
534.0,1
536.0,1
538.0,1
540.0,1
540.0,1
542.0,0
544.0,1
546.0,0
548.0,1
548.0,1
550.0,1
552.0,1
554.0,1
556.0,1
558.0,1
558.0,1
560.0,1
562.0,1
564.0,1
566.0,1
568.0,1
570.0,1
570.0,0
572.0,1
574.0,0
576.0,0
578.0,1
580.0,1
582.0,1
582.0,1
584.0,0
586.0,1
588.0,0
590.0,1
592.0,0
594.0,1
596.0,1
598.0,1
598.0,1
600.0,1
602.0,1
604.0,1
606.0,1
608.0,1
610.0,1
612.0,1
614.0,1
616.0,1
618.0,1
618.0,1
620.0,1
622.0,1
624.0,0
626.0,1
628.0,1
630.0,1
632.0,1
634.0,1
636.0,1
638.0,0
640.0,1
642.0,1
644.0,1
646.0,1
648.0,1
650.0,1
652.0,1
654.0,1
656.0,0
658.0,1
660.0,0
662.0,1
664.0,1
666.0,1
668.0,1
670.0,1
672.0,1
674.0,1
676.0,1
678.0,1
680.0,1
682.0,1
684.0,1
686.0,1
688.0,1
690.0,1
692.0,0
694.0,1
696.0,1
698.0,0
700.0,1
702.0,1
704.0,1
706.0,1
708.0,1
710.0,1
712.0,1
714.0,1
716.0,1
720.0,1
722.0,1
724.0,1
726.0,0
728.0,1
730.0,1
732.0,1
734.0,1
736.0,1
738.0,0
740.0,1
744.0,0
746.0,1
748.0,1
750.0,1
752.0,1
754.0,1
756.0,1
758.0,1
762.0,1
764.0,1
766.0,1
768.0,0
770.0,1
772.0,0
776.0,1
778.0,1
780.0,1
782.0,1
784.0,1
786.0,0
790.0,1
792.0,1
794.0,1
796.0,1
798.0,0
800.0,1
804.0,1
806.0,1
808.0,1
810.0,1
814.0,1
816.0,1
818.0,1
820.0,1
822.0,1
826.0,1
828.0,1
830.0,1
832.0,1
836.0,1
838.0,1
840.0,1
842.0,1
846.0,1
848.0,1
850.0,1
854.0,1
856.0,1
858.0,1
860.0,1
864.0,1
866.0,1
868.0,1
872.0,1
874.0,1
876.0,1
880.0,1
882.0,1
884.0,1
886.0,0
890.0,1
892.0,1
894.0,0
898.0,1
900.0,1
904.0,1
906.0,1
908.0,1
912.0,1
914.0,1
916.0,0
920.0,1
922.0,1
924.0,1
928.0,1
930.0,1
934.0,1
936.0,1
938.0,1
942.0,1
944.0,1
948.0,1
950.0,0
954.0,1
956.0,1
958.0,1
962.0,1
964.0,1
968.0,1
970.0,1
974.0,1
976.0,1
980.0,1
982.0,1
986.0,1
988.0,1
992.0,1
994.0,1
998.0,1
1000.0,1
